,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
0,nsubj,0.612031441675893,3.3125297363091635e-07,0.5328165151961028,1.665241748805351e-05
1,nsubjpass,0.494235521974053,8.044732238596975e-05,0.4400524823157539,0.0005471118203203465
2,dobj,0.3323130873856928,0.010815360803096634,0.26217758435511057,0.046795428026645665
3,pobj,0.4023255456741161,0.0017434823681284671,0.3103188397247866,0.017753320549007277
4,(nsubj+nsubjpass),0.6113478014165749,3.4423600037403473e-07,0.5327222111770274,1.672062703026166e-05
5,(nsubj+dobj),0.5018841811080184,5.9755562474825396e-05,0.4226101673344748,0.0009506164765130271
6,(nsubj+pobj),0.501553415977114,6.0537769454324604e-05,0.4145621212587284,0.0012147148523658678
7,(nsubjpass+dobj),0.3433616342217666,0.008320173377046611,0.27399409389117313,0.03740972374157739
8,(nsubjpass+pobj),0.4107052223091114,0.0013632554695655456,0.31921864219171964,0.01458800211072882
9,(dobj+pobj),0.38596059496698026,0.0027690105447388744,0.30204408081459944,0.02120402779572034
10,combination1nsubj/nsubjpass,0.5431418991663847,1.05643747827854e-05,0.4587345042911194,0.0002927564996963493
11,combination2nsubj/dobj,0.7681257497923653,1.962694674600806e-12,0.7145405887600357,2.9946604489184036e-10
12,combination3nsubj/pobj,0.7325048448122059,6.347121497079442e-11,0.7286905164723615,8.914131052184202e-11
13,combination4nsubj/(dobj+pobj),0.7533606078316775,8.902503746512841e-12,0.7288750807468701,8.769984581360743e-11
14,combination5nsubj/(nsubjpass+dobj),0.777661570641976,6.958733997837544e-13,0.7165092743547942,2.541135894448675e-10
15,combination6nsubj/(nsubjpass+pobj),0.7425328370605064,2.526798868121283e-11,0.7355193946291796,4.8330560832459934e-11
16,combination7nsubj/(nsubj+pobj),0.7325048448122059,6.347121497079442e-11,0.7286905164723615,8.914131052184202e-11
17,combination8nsubj/(nsubj+dobj),0.7681257497923653,1.962694674600806e-12,0.7145405887600357,2.9946604489184036e-10
18,combination9nsubj/(nsubj+nsubjpass),0.5431418991663847,1.05643747827854e-05,0.4587345042911194,0.0002927564996963493
19,combination10nsubjpass/nsubj,-0.5431418991663847,1.05643747827854e-05,-0.4587345042911194,0.0002927564996963493
20,combination11nsubjpass/dobj,0.43758459476837747,0.0005926585244378465,0.4776055127152077,0.0001499493395269839
21,combination12nsubjpass/pobj,0.3296368642437364,0.011509091516760401,0.4347170740474508,0.0006498740803251757
22,combination13nsubjpass/(dobj+pobj),0.403248381240308,0.0016974041462563918,0.4831351800869843,0.0001223373701329749
23,combination14nsubjpass/(nsubjpass+dobj),0.43758459476837747,0.0005926585244378465,0.4776055127152077,0.0001499493395269839
24,combination15nsubjpass/(nsubjpass+pobj),0.3296368642437364,0.011509091516760401,0.4347170740474508,0.0006498740803251757
25,combination16nsubjpass/(nsubj+pobj),-0.09809591190131964,0.46381285758263835,0.01701067396720908,0.8991474357484268
26,combination17nsubjpass/(nsubj+dobj),-0.12418099603186811,0.35301942602119984,-0.05078593620228245,0.7049856268158963
27,combination18nsubjpass/(nsubj+nsubjpass),-0.5431418991663847,1.05643747827854e-05,-0.4587345042911194,0.0002927564996963493
28,combination19dobj/nsubj,-0.7681257497923653,1.962694674600806e-12,-0.7145405887600357,2.9946604489184036e-10
29,combination20dobj/nsubjpass,-0.43758459476837747,0.0005926585244378465,-0.4776055127152077,0.0001499493395269839
30,combination21dobj/pobj,-0.28819711464517517,0.028246706978782118,-0.21560183333846017,0.10407514404228216
31,combination22dobj/(dobj+pobj),-0.28819711464517517,0.028246706978782118,-0.21560183333846017,0.10407514404228216
32,combination23dobj/(nsubjpass+dobj),-0.43758459476837747,0.0005926585244378465,-0.4776055127152077,0.0001499493395269839
33,combination24dobj/(nsubjpass+pobj),-0.29207296440985575,0.02610175561112371,-0.2280906825802086,0.08505989340498596
34,combination25dobj/(nsubj+pobj),-0.6081700452182474,4.111037532781653e-07,-0.5400658279245748,1.211723364160812e-05
35,combination26dobj/(nsubj+dobj),-0.7681257497923653,1.962694674600806e-12,-0.7145405887600357,2.9946604489184036e-10
36,combination27dobj/(nsubj+nsubjpass),-0.7666492355962965,2.2944091010253336e-12,-0.7159555815312683,2.661624719786597e-10
37,combination28pobj/nsubj,-0.7325048448122059,6.347121497079442e-11,-0.7286905164723615,8.914131052184202e-11
38,combination29pobj/nsubjpass,-0.3296368642437364,0.011509091516760401,-0.4347170740474508,0.0006498740803251757
39,combination30pobj/dobj,0.28819711464517517,0.028246706978782118,0.21560183333846017,0.10407514404228216
40,combination31pobj/(dobj+pobj),0.28819711464517517,0.028246706978782118,0.21560183333846017,0.10407514404228216
41,combination32pobj/(nsubjpass+dobj),0.25848226644929095,0.05009827898589523,0.18151896397920578,0.17267046683498985
42,combination33pobj/(nsubjpass+pobj),-0.3296368642437364,0.011509091516760401,-0.4347170740474508,0.0006498740803251757
43,combination34pobj/(nsubj+pobj),-0.7325048448122059,6.347121497079442e-11,-0.7286905164723615,8.914131052184202e-11
44,combination35pobj/(nsubj+dobj),-0.5724876188132518,2.6602261464135225e-06,-0.5866990679504138,1.2987243050923358e-06
45,combination36pobj/(nsubj+nsubjpass),-0.7315820234396629,6.894319836287083e-11,-0.7347811375311454,5.1683778692712884e-11
46,combination37(dobj+pobj)/nsubj,-0.7533606078316775,8.902503746512841e-12,-0.7288750807468701,8.769984581360743e-11
47,combination38(dobj+pobj)/nsubjpass,-0.403248381240308,0.0016974041462563918,-0.4831351800869843,0.0001223373701329749
48,combination39(dobj+pobj)/dobj,0.28819711464517517,0.028246706978782118,0.21560183333846017,0.10407514404228216
49,combination40(dobj+pobj)/pobj,-0.28819711464517517,0.028246706978782118,-0.21560183333846017,0.10407514404228216
50,combination41(dobj+pobj)/(nsubjpass+dobj),0.23977975329908643,0.06984666882879413,0.15364975852840754,0.24950921191183908
51,combination42(dobj+pobj)/(nsubjpass+pobj),-0.3009674393207089,0.021692244513632337,-0.25371825833168515,0.05463430945527388
52,combination43(dobj+pobj)/(nsubj+pobj),-0.7430865298840322,2.398556964603923e-11,-0.6770740410347904,5.3600322958709345e-09
53,combination44(dobj+pobj)/(nsubj+dobj),-0.6907317973484266,1.968859277488561e-09,-0.6943000399889262,1.5019135371014505e-09
54,combination45(dobj+pobj)/(nsubj+nsubjpass),-0.7494847580669969,1.3011313584594227e-11,-0.7310898520409734,7.204201956554465e-11
55,combination46(nsubjpass+dobj)/nsubj,-0.777661570641976,6.958733997837544e-13,-0.7165092743547942,2.541135894448675e-10
56,combination47(nsubjpass+dobj)/nsubjpass,-0.43758459476837747,0.0005926585244378465,-0.4776055127152077,0.0001499493395269839
57,combination48(nsubjpass+dobj)/dobj,0.43758459476837747,0.0005926585244378465,0.4776055127152077,0.0001499493395269839
58,combination49(nsubjpass+dobj)/pobj,-0.25848226644929095,0.05009827898589523,-0.18151896397920578,0.17267046683498985
59,combination50(nsubjpass+dobj)/(dobj+pobj),-0.23977975329908643,0.06984666882879413,-0.15364975852840754,0.24950921191183908
60,combination51(nsubjpass+dobj)/(nsubjpass+pobj),-0.2796456365929435,0.033505545561769476,-0.19899104863268635,0.1342627577202542
61,combination52(nsubjpass+dobj)/(nsubj+pobj),-0.6060783167738165,4.6157305159705036e-07,-0.5259159002122489,2.2386716474649265e-05
62,combination53(nsubjpass+dobj)/(nsubj+dobj),-0.7718170352825373,1.32161570367742e-12,-0.7111569103940447,3.958679174982489e-10
63,combination54(nsubjpass+dobj)/(nsubj+nsubjpass),-0.7716324710080286,1.3482435608660923e-12,-0.7198929527207851,1.9100352285795002e-10
64,combination55(nsubjpass+pobj)/nsubj,-0.7425328370605064,2.526798868121283e-11,-0.7355193946291796,4.8330560832459934e-11
65,combination56(nsubjpass+pobj)/nsubjpass,-0.3296368642437364,0.011509091516760401,-0.4347170740474508,0.0006498740803251757
66,combination57(nsubjpass+pobj)/dobj,0.29207296440985575,0.02610175561112371,0.2280906825802086,0.08505989340498596
67,combination58(nsubjpass+pobj)/pobj,0.3296368642437364,0.011509091516760401,0.4347170740474508,0.0006498740803251757
68,combination59(nsubjpass+pobj)/(dobj+pobj),0.3009674393207089,0.021692244513632337,0.25371825833168515,0.05463430945527388
69,combination60(nsubjpass+pobj)/(nsubjpass+dobj),0.2796456365929435,0.033505545561769476,0.19899104863268635,0.1342627577202542
70,combination61(nsubjpass+pobj)/(nsubj+pobj),-0.7365652588513951,4.3932452223335144e-11,-0.7211849026423452,1.7109012617786382e-10
71,combination62(nsubjpass+pobj)/(nsubj+dobj),-0.5646128764342182,3.901983860404517e-06,-0.5732873973361224,2.557290427755946e-06
72,combination63(nsubjpass+pobj)/(nsubj+nsubjpass),-0.737130289088527,4.1717490359825387e-11,-0.7365765877488119,4.388696374993123e-11
73,combination64(nsubj+pobj)/nsubj,-0.7325048448122059,6.347121497079442e-11,-0.7286905164723615,8.914131052184202e-11
74,combination65(nsubj+pobj)/nsubjpass,0.09809591190131964,0.46381285758263835,-0.01701067396720908,0.8991474357484268
75,combination66(nsubj+pobj)/dobj,0.6081700452182474,4.111037532781653e-07,0.5400658279245748,1.211723364160812e-05
76,combination67(nsubj+pobj)/pobj,0.7325048448122059,6.347121497079442e-11,0.7286905164723615,8.914131052184202e-11
77,combination68(nsubj+pobj)/(dobj+pobj),0.7430865298840322,2.398556964603923e-11,0.6770740410347904,5.3600322958709345e-09
78,combination69(nsubj+pobj)/(nsubjpass+dobj),0.6060783167738165,4.6157305159705036e-07,0.5259159002122489,2.2386716474649265e-05
79,combination70(nsubj+pobj)/(nsubjpass+pobj),0.7365652588513951,4.3932452223335144e-11,0.7211849026423452,1.7109012617786382e-10
80,combination71(nsubj+pobj)/(nsubj+dobj),-0.054046571718601014,0.6869916262290265,-0.11452213233258483,0.39199239829034305
81,combination72(nsubj+pobj)/(nsubj+nsubjpass),-0.7271524808514566,1.0206056029122395e-10,-0.7347811375311454,5.1683778692712884e-11
82,combination73(nsubj+dobj)/nsubj,-0.7681257497923653,1.962694674600806e-12,-0.7145405887600357,2.9946604489184036e-10
83,combination74(nsubj+dobj)/nsubjpass,0.12418099603186811,0.35301942602119984,0.05078593620228245,0.7049856268158963
84,combination75(nsubj+dobj)/dobj,0.7681257497923653,1.962694674600806e-12,0.7145405887600357,2.9946604489184036e-10
85,combination76(nsubj+dobj)/pobj,0.5724876188132518,2.6602261464135225e-06,0.5866990679504138,1.2987243050923358e-06
86,combination77(nsubj+dobj)/(dobj+pobj),0.6907317973484266,1.968859277488561e-09,0.6943000399889262,1.5019135371014505e-09
87,combination78(nsubj+dobj)/(nsubjpass+dobj),0.7718170352825373,1.32161570367742e-12,0.7111569103940447,3.958679174982489e-10
88,combination79(nsubj+dobj)/(nsubjpass+pobj),0.5646128764342182,3.901983860404517e-06,0.5732873973361224,2.557290427755946e-06
89,combination80(nsubj+dobj)/(nsubj+pobj),0.054046571718601014,0.6869916262290265,0.11452213233258483,0.39199239829034305
90,combination81(nsubj+dobj)/(nsubj+nsubjpass),-0.7454243440278079,1.9222231322322863e-11,-0.7034052108646838,7.393279914145164e-10
91,combination82(nsubj+nsubjpass)/nsubj,-0.5431418991663847,1.05643747827854e-05,-0.4587345042911194,0.0002927564996963493
92,combination83(nsubj+nsubjpass)/nsubjpass,0.5431418991663847,1.05643747827854e-05,0.4587345042911194,0.0002927564996963493
93,combination84(nsubj+nsubjpass)/dobj,0.7666492355962965,2.2944091010253336e-12,0.7159555815312683,2.661624719786597e-10
94,combination85(nsubj+nsubjpass)/pobj,0.7315820234396629,6.894319836287083e-11,0.7347811375311454,5.1683778692712884e-11
95,combination86(nsubj+nsubjpass)/(dobj+pobj),0.7494847580669969,1.3011313584594227e-11,0.7310898520409734,7.204201956554465e-11
96,combination87(nsubj+nsubjpass)/(nsubjpass+dobj),0.7716324710080286,1.3482435608660923e-12,0.7198929527207851,1.9100352285795002e-10
97,combination88(nsubj+nsubjpass)/(nsubjpass+pobj),0.737130289088527,4.1717490359825387e-11,0.7365765877488119,4.388696374993123e-11
98,combination89(nsubj+nsubjpass)/(nsubj+pobj),0.7271524808514566,1.0206056029122395e-10,0.7347811375311454,5.1683778692712884e-11
99,combination90(nsubj+nsubjpass)/(nsubj+dobj),0.7454243440278079,1.9222231322322863e-11,0.7034052108646838,7.393279914145164e-10
100,combination(nsubjpass+dobj)/(all),-0.6060783167738165,4.6157305159705036e-07,-0.5259159002122489,2.2386716474649265e-05
